name_df1,name_df2,price_df1,price_df2,similarity
TERMOMETRO INFRARROJO DIGITAL JOYTECH, TERMOMETRO INFRARROJO DIGITAL JOYTECH ,$3.076,2930.0,100
DERMOGREEN MASCARILLA CON ACEITE DE ARGAN x 300 ml., DERMOGREEN MASCARILLA CON ACEITE DE ARGAN x 300 ml. ,$563,589.4,100
DERMOGREEN ACONDICIONADOR CON ACEITE DE ARGAN x 350 ml., DERMOGREEN ACONDICIONADOR CON ACEITE DE ARGAN x 350 ml. ,$510,534.15,100
DERMOGREEN SHAMPOO CON ACEITE DE ARGAN x 350 ml., DERMOGREEN ACONDICIONADOR CON ACEITE DE ARGAN x 350 ml. ,$510,534.15,91
DERMOGREEN MASCARILLA CON MOLECULAS DE KERATINA x 300 ml., DERMOGREEN MASCARILLA CON MOLECULAS DE KERATINA x 300 ml. ,$563,589.4,100
DERMOGREEN ACONDICIONADOR CON MOLECULAS DE KERATINA x 350 ml., DERMOGREEN ACONDICIONADOR CON MOLECULAS DE KERATINA x 350 ml. ,$510,534.15,100
DERMOGREEN SHAMPOO CON MOLECULAS DE KERATINA x 350 ml., DERMOGREEN ACONDICIONADOR CON MOLECULAS DE KERATINA x 350 ml. ,$510,534.15,92
DERMOGREEN CREMA MANOS HIDRATACION PROLONGADA CON ACEITE DE ALMENDRAS x 60 grs., DERMOGREEN CREMA MANOS HIDRATACION PROLONGADA CON ACEITE DE ALMENDRAS x 60 grs. ,$187,195.81,100
DERMOGREEN CREMA MANOS ANTIBACTERIAL CON KARITE x 60 grs., DERMOGREEN CREMA MANOS ANTIBACTERIAL CON KARITE x 60 grs. ,$235,246.19,100
CHAPOTEANDO CUBO EXHIBIDOR, CHAPOTEANDO CUBO EXHIBIDOR ,$1,1.0,100
JERINGA NEOJET TUBERCULINA CON AGUJA 15 x 5 x 100 u, JERINGA NEOJET TUBERCULINA CON AGUJA 15 x 5    x 100 u ,$901,898.0,100
JERINGA NEOJET PICO CATETER 60 cc SIN AGUJA x u, JERINGA NEOJET  3 cc SIN AGUJA  x 100 u ,$65,775.0,91
JERINGA NEOJET 60 cc SIN AGUJA x u., JERINGA NEOJET  3 cc SIN AGUJA  x 100 u ,$65,775.0,95
JERINGA NEOJET 20 cc SIN AGUJA x u., JERINGA NEOJET  3 cc SIN AGUJA  x 100 u ,$24,775.0,95
JERINGA NEOJET 10 cc CON AGUJA 40/8 x 100 u, JERINGA FUREY  10 cc CON AGUJA 40/8 x 100 ,$1.693,1612.0,92
MAS POSA JABON 304, MAS POSA JABON  304 ,$405,385.53,100
MAS CAJA ORTODONCIA FLUO 176, MAS CAJA ORTODONCIA FLUO  176 ,$591,562.65,100
MAS SUZIE VINCHA ELASTICA DEPORTIVA 365, MAS SUZIE VINCHA ELASTICA DEPORTIVA  365 ,$623,593.46,100
MAS SEPARADOR DE DEDOS 284, MAS SEPARADOR DE DEDOS   284 ,$263,250.48,100
MAS ESPONJA FRUTAL 68, MAS ESPONJA FRUTAL   68 ,$420,400.07,100
MAS SUZIE BROCHE GRANDE ESTAMPADO 329, MAS SUZIE BROCHE GRANDE ESTAMPADO  329 ,$580,552.15,100
MAS SUZIE COLITA DE TELA 331, MAS SUZIE COLITA DE TELA  331 ,$516,491.32,100
MAS GOMITAS BABY x 12 151, MAS GOMITAS BABY x 12  151 ,$289,274.86,100
DERMOGREEN SHAMPOO PEDICULICIDA CON PALO AMARGO ZAPPING x 125 ml, DERMOGREEN SHAMPOO PEDICULICIDA CON PALO AMARGO ZAPPING x 125 ml ,$229,239.61,100
DERMOGREEN KIT PEDICULOSIS SHAMPOO + LOCION ZAPPING, DERMOGREEN KIT PEDICULOSIS SHAMPOO + LOCION ZAPPING ,$1.176,1231.55,100
DERMOGREEN SACHET ACEITE DE ALMENDRAS x 8 gr., DERMOGREEN SACHET ACEITE DE ALMENDRAS x  8 gr. ,$65,67.98,100
DERMOGREEN SACHET ACEITE DE COCO Y ARGAN x 8 gr., DERMOGREEN SACHET ACEITE DE COCO Y ARGAN x  8 gr. ,$103,107.71,100
DERMOGREEN SACHET MASCARA COCO MANIA x 25 gr:, DERMOGREEN SACHET MASCARA COCO MANIA x 25 gr: ,$71,74.15,100
COFIAS PLISADAS BLANCAS PADEMED x 100 u, COFIAS PLISADAS BLANCAS PADEMED x 100 u ,$806,768.0,100
JERINGA NEOJET 5 cc SIN AGUJA x 100 u, JERINGA FUREY  5 cc SIN AGUJA x 100 u ,$881,981.0,91
MAC GREGOR EAU DE PARFUM LOVELY PURE x 100 ml, MAC GREGOR EAU DE PARFUM LOVELY x 100 ml ,$3.369,3732.07,100
EQUIPO COPROPARASITOLOGICO TABLADA ADULTO, EQUIPO COPROPARASITOLOGICO TABLADA PEDIATRICO ,$602,573.21,91
GUANTE LATEX TRUX MEDIANO x 100 u., GUANTE LATEX BREMEN MEDIANO x 100 u. ,$542,516.0,92
AZUFRE EN BARRA TUTY CAJA x 100 u, AZUFRE EN BARRA TUTY CAJA x 100 u ,$2.499,2380.0,100
BARBIJO TRIPLE CAPA CON ELASTICO PADEMED CELESTE x 25 u, BARBIJO PEDIATRICO TRIPLE CAPA CON ELASTICO PADEMED x 25 u ,$250,338.0,92
AGUJA PERICRANEAL (TIPO BUTERFLY) EURO MIX N. 19, AGUJA PERICRANEAL (TIPO BUTERFLY) EURO MIX N. 25 ,$28,27.0,97
BIALCOHOL MEDICINAL 96% PORTA x 1000 ml, BIALCOHOL MEDICINAL 96% PORTA x 1000 ml ,$519,494.0,100
BIALCOHOL MEDICINAL 96% PORTA x 500 ml, BIALCOHOL MEDICINAL 96% PORTA x 1000 ml ,$296,494.0,96
BIALCOHOL MEDICINAL 96% PORTA x 250 ml, BIALCOHOL MEDICINAL 96% PORTA x 1000 ml ,$180,494.0,94
JESSAMY PERFILADOR NAVAJIN CEJAS DAMA x 3 unid. N21, JESSAMY PERFILADOR NAVAJIN CEJAS DAMA x 3 unid. N21 ,$389,370.52,100
JACTANS ESMALTE LUZ NEGRA 205, JACTANS ESMALTE LUZ NEGRA 205 ,$286,328.18,100
DISNEY PERFUME INFANTIL CUBES LOS INCREIBLES x 65ML, DISNEY PERFUME INFANTIL CUBES LOS INCREIBLES x 65ML 42523 ,$574,682.63,100
DISNEY PERFUME INFANTIL CUBES SULLIVAN x 65ML, DISNEY PERFUME INFANTIL CUBES SULLIVAN x 65ML 42516 ,$574,682.63,100
DISNEY PERFUME INFANTIL CUBES MICKEY x 65ML, DISNEY PERFUME INFANTIL CUBES SULLIVAN x 65ML 42516 ,$574,682.63,91
DISNEY CAJITA PERSONAJE SORPRESA TSUM TSUM, DISNEY CAJITA PERSONAJE SORPRESA TSUM TSUM 41236 ,$323,308.0,100
DISNEY BOMBA DE BAÑO INFANTIL LOL, DISNEY BOMBA DE BAÑO INFANTIL LOL 42158 ,$429,409.03,100
DISNEY VALIJITA NAILS BEAUTY SET BIA, DISNEY VALIJITA NAILS BEAUTY SET BIA 42165 ,$594,566.08,100
DISNEY SET 2 ESMALTES + 1 LABIAL BLISTER FROZEN II, DISNEY SET 2 ESMALTES + 1 LABIAL BLISTER FROZEN II 95453 ,$1.435,1640.23,100
DISNEY ESMALTE INFANTIL PRINCESAS EN BLISTER RAPUNZEL, DISNEY ESMALTE INFANTIL PRINCESAS EN BLISTER RAPUNZEL 41717 ,$573,682.63,100
DISNEY LABIAL INFANTIL PRINCESAS EN BLISTER CENICIENTA, DISNEY LABIAL INFANTIL PRINCESAS EN BLISTER CENICIENTA 41956 ,$573,682.63,100
JACTANS STICKERS PARA FRANCESITAS 806, JACTANS STICKERS PARA FRANCESITAS 806 ,$143,136.66,100
JACTANS CUTE TOUCH ESPONJA DE MAQUILLAJE 651, JACTANS CUTE TOUCH ESPONJA DE MAQUILLAJE 651 ,$258,246.0,100
JACTANS NAIL ART PEN 639, JACTANS NAIL ART PEN 639 ,$359,410.26,100
JACTANS MAQUILLAJE HUMECTANTE BE NATURAL YOU CARAMELO 748/003, JACTANS MAQUILLAJE HUMECTANTE BE NATURAL YOU LATTE 748/001 ,$790,902.74,91
JACTANS MAQUILLAJE HUMECTANTE BE NATURAL YOU ALMENDRAS 748/002, JACTANS MAQUILLAJE HUMECTANTE BE NATURAL YOU LATTE 748/001 ,$790,902.74,91
JACTANS MAQUILLAJE HUMECTANTE BE NATURAL YOU LATTE 748/001, JACTANS MAQUILLAJE HUMECTANTE BE NATURAL YOU LATTE 748/001 ,$790,902.74,100
JACTANS DESMAQUILLANTE BIFASICO SUAVE OJOS Y ROSTRO 737, JACTANS DESMAQUILLANTE BIFASICO SUAVE OJOS Y ROSTRO 737 ,$862,1025.86,100
JACTANS BRUMA FIJADORA DE MAQUILLAJE 736, JACTANS BRUMA FIJADORA DE MAQUILLAJE 736 ,$862,1025.86,100
JACTANS CORRECTOR OJERAS ALTA FIJACION TOSTADO 525/003, JACTANS CORRECTOR OJERAS ALTA FIJACION TOSTADO 525/003 ,$862,957.46,100
JACTANS CORRECTOR OJERAS ALTA FIJACION BEIGE 525/002, JACTANS CORRECTOR OJERAS ALTA FIJACION BEIGE 525/002 ,$862,957.46,100
JACTANS CORRECTOR OJERAS ALTA FIJACION NATURAL 525/001, JACTANS CORRECTOR OJERAS ALTA FIJACION NATURAL 525/001 ,$862,957.46,100
JACTANS MASCARA DE PESTAÑAS OPTIMIZE ME 726, JACTANS MASCARA DE PESTAÑAS OPTIMIZE ME 726 ,$1.291,1366.63,100
JACTANS MASCARA DE PESTAÑAS XXL A PRUEBA DE AGUA 676, JACTANS MASCARA DE PESTAÑAS XXL  A PRUEBA DE AGUA 676 ,$1.293,1366.63,100
JACTANS MASCARA DE PESTAÑAS 5 EFECTOS A PRUEBA DE AGUA 675, JACTANS MASCARA DE PESTAÑAS XXL  A PRUEBA DE AGUA 676 ,$1.293,1366.63,91
JACTANS DELINEADOR LAPIZ MADERA NEGRO 605, JACTANS DELINEADOR LAPIZ MADERA NEGRO 605 ,$287,341.86,100
JACTANS DELINEADOR CREMOSO/NEW KOHOL 280, JACTANS DELINEADOR CREMOSO/NEW KOHOL 280 ,$646,738.58,100
JACTANS ESMALTE EFECTO MATE 706, JACTANS ESMALTE EFECTO MATE 706 ,$359,410.26,100
JESSAMY CORTA UÑAS GRANDE CAJA x 12 unid. C1778, JESSAMY CORTA UÑAS GRANDE CAJA x 12 unid. C1778 ,$2.563,2920.2,100
JESSAMY CORTA UÑAS CHICO CAJA x 24 unid. C1777, JESSAMY CORTA UÑAS CHICO CAJA x 24 unid. C1777 ,$2.563,2920.2,100
JACTANS ESMALTE LACA GEL/TOP COAT 672, JACTANS ESMALTE LACA GEL/TOP COAT 672 ,$99,94.16,100
JACTANS PEEL OFF MASCARA PARA UÑAS 633, JACTANS PEEL OFF MASCARA PARA UÑAS 633 ,$165,157.28,100
JACTANS CORRECTOR DE ESMALTES PARA UÑAS 563, JACTANS CORRECTOR DE ESMALTES PARA UÑAS 563 ,$316,355.54,100
JACTANS KIT ESMALTE FRANCESITA 206, JACTANS KIT ESMALTE FRANCESITA 206 ,$688,793.3,100
JACTANS BRILLO LABIAL CON APLICADOR ROSA FUCSIA 509/009, JACTANS BRILLO LABIAL CON APLICADOR ROSA FUCSIA 509/009 ,$860,1024.63,100
JACTANS BRILLO LABIAL CON APLICADOR ROSA PERLADO 509/005, JACTANS BRILLO LABIAL CON APLICADOR ROSA PERLADO 509/005 ,$860,1024.63,100
JACTANS BRILLO LABIAL CON APLICADOR ROJO 509/003, JACTANS BRILLO LABIAL CON APLICADOR TRANSPARENTE 509/001 ,$860,1024.63,90
JACTANS BRILLO LABIAL CON APLICADOR TRANSPARENTE 509/001, JACTANS BRILLO LABIAL CON APLICADOR TRANSPARENTE 509/001 ,$860,1024.63,100
SULFATIAZOL TALQUERA TABLADA x 5 grs, SULFATIAZOL TALQUERA TABLADA  x 5 grs ,$677,645.03,100
REP NEB PISTON KIT DE MASCARAS (P59), REP NEB PISTON KIT DE MASCARAS (P59) ,$661,629.52,100
DERMOGREEN CERA DEPILATORIA CON MIEL Y CAMOMILLA MICROONDAS x 150gr, DERMOGREEN CERA DEPILATORIA CON MIEL Y CAMOMILLA MICROONDAS x 150gr ,$377,430.86,100
DERMOGREEN CERA DEP.VEG. C/.ALOE VERA MICROONDAS x 150gr, DERMOGREEN CERA DEP.VEG. C/.ALOE VERA MICROONDAS x 150gr ,$377,430.86,100
MAC GREGOR EAU DE PARFUM PINO x 100 ml, MAC GREGOR EAU DE PARFUM STRONGER x 100 ml ,$2.681,3732.07,93
MAC GREGOR EAU DE PARFUM DEEP BLUE x 100 ml, MAC GREGOR EAU DE PARFUM LOVELY x 100 ml ,$2.681,3732.07,90
MAC GREGOR EAU DE PARFUM LOVELY x 100 ml, MAC GREGOR EAU DE PARFUM STRONGER x 100 ml ,$3.369,3732.07,90
MAC GREGOR EAU DE PARFUM STRONGER x 100 ml, MAC GREGOR EAU DE PARFUM STRONGER x 100 ml ,$3.369,3732.07,100
TERMOMETRO INFRARROJO FRENTE CORONET BK8005, TERMOMETRO INFRARROJO FRENTE CORONET BK8005 ,$5.072,4830.0,100
PLANCHITA PELO SILFAB LISS EXPERT BY615, PLANCHITA PELO SILFAB LISS EXPERT BY615 ,$8.156,7767.25,100
SECADOR PELO SILFAB HEAT EXPERT BY520 S, SECADOR PELO SILFAB HEAT EXPERT BY520 S ,$7.815,7442.59,100
SECADOR PELO SILFAB CURVE BY527, SECADOR PELO SILFAB CURVE BY527 ,$5.866,5586.79,100
JESSAMY GORRA PARA DUCHA LISA G21, JESSAMY GORRA PARA DUCHA LISA G00185 ,$190,257.48,94
NEBULIZADOR A PISTON FUREY COMPRESOR NBB02/A50, NEBULIZADOR A PISTON FUREY COMPRESOR NBB02/A50 ,$13.413,12774.0,100
DERMOGREEN CREMA CORPORAL ULTRA NUTRITIVA x 350gr, DERMOGREEN CREMA CORPORAL ULTRA NUTRITIVA x 350gr ,$493,516.84,100
DERMOGREEN CREMA CORPORAL MAXIMA HIDRATACION x 350gr, DERMOGREEN CREMA CORPORAL MAXIMA HIDRATACION x 350gr ,$493,516.84,100
DERMOGREEN CREMA CORPORAL PIERNAS IRRESISTIBLES x 350gr, DERMOGREEN CREMA CORPORAL PIERNAS IRRESISTIBLES x 350gr ,$493,516.84,100
ALMOHADILLA TERMICA SILFAB CERVICAL AL82, ALMOHADILLA TERMICA SILFAB CERVICAL AL82 ,$7.462,7106.77,100
ALMOHADILLA TERMICA SILFAB SMALL AL80, ALMOHADILLA TERMICA SILFAB SMALL AL90/GR ,$4.014,8386.38,94
VAPORIZADOR SILFAB, VAPORIZADOR SILFAB V12 ,$9.382,8935.3,100
BOLSA COLECTORA ORINA EUROMIX K207 N1A x 2000 ml., BOLSA COLECTORA ORINA EUROMIX K207 N1A x 2000 ml. ,$143,136.0,100
BOLSA COLETORA.ORINA EUROMIX K206 AMBULATORIA N3B x 750 ml., BOLSA COLETORA.ORINA EUROMIX K206 AMBULATORIA N3B x 750 ml. ,$378,360.0,100
GUANTE LATEX ELIT CHICO x 100 u., GUANTE LATEX AS CHICO  x 100 u. ,$542,516.0,95
GUANTE LATEX ELIT MEDIANO x 100 u., GUANTE LATEX BREMEN MEDIANO x 100 u. ,$542,516.0,92
COLCHON ANTIESCARAS DE AIRE CON BOMBA CORONET, COLCHON ANTIESCARAS DE AIRE CON BOMBA CORONET ,$11.705,11147.63,100
MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,100
MARY BOSQUES CREMA COLORANTE FANTASIA MAGENTA x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,92
MARY BOSQUES CREMA COLORANTE FANTASIA VERDE x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,94
MARY BOSQUES CREMA COLORANTE FANTASIA AZUL x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,95
MARY BOSQUES CREMA COLORANTE FANTASIA ROJO x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,95
MARY BOSQUES CREMA COLORANTE FANTASIA ROSA x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,95
MARY BOSQUES CREMA COLORANTE FANTASIA NARANJA x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,92
MARY BOSQUES CREMA COLORANTE FANTASIA GRIS ACERO x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,92
MARY BOSQUES CREMA COLORANTE FANTASIA AMARILLO x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,92
MARY BOSQUES CREMA COLORANTE FANTASIA TURQUESA x 47 gr., MARY BOSQUES CREMA COLORANTE FANTASIA VIOLETA x 47 gr. ,$200,248.38,92
ESTETOSCOPIO DOBLE PROFESIONAL CARDIOLOGICO CORONET HS30K, ESTETOSCOPIO DOBLE PROFESIONAL CARDIOLOGICO CORONET HS30K ,$4.263,4181.64,100
ESTETOSCOPIO DOBLE PROFESIONAL PEDIATRICO CORONET HS30H, ESTETOSCOPIO DOBLE PROFESIONAL PEDIATRICO CORONET HS30H ,$3.345,3281.08,100
ESTETOSCOPIO DOBLE PROFESIONAL ADULTO CORONET HS30J, ESTETOSCOPIO DOBLE PROFESIONAL ADULTO CORONET HS30J ,$3.379,3314.58,100
GASA EN PIEZA X 1 KGR INSUMOS DAGASA, GASA EN PIEZA X 1 KGR INSUMOS DAGASA ,$2.863,3080.0,100
DERMOGREEN SACHET SHOCK BRILLO DE 25 grs. x unid., DERMOGREEN SACHET SHOCK BRILLO DE 25 grs. x unid. ,$71,74.15,100
DERMOGREEN SACHET KERATINA EN CREMA DE 25 grs. x unid., DERMOGREEN SACHET KERATINA EN CREMA DE 25 grs. x unid. ,$71,74.15,100
DERMOGREEN SACHET BOTHOX CAPILAR DE 25 grs. x unid., DERMOGREEN SACHET BOTHOX CAPILAR DE 25 grs. x unid. ,$71,74.15,100
CATETER TEFLON DEXAL N.18 (TIPO ABOCAT), CATETER TEFLON DEXAL N.14 (TIPO ABOCAT) ,$40,49.0,97
DERMOGREEN CERA DEPILATORIA VEGETAL CON ALOE VERA BANDEJA x 800gr, DERMOGREEN CERA DEPILATORIA VEGETAL CON ALOE VERA BANDEJA x 800gr ,$1.215,1388.04,100
DERMOGREEN CERA DEPILATORIA VEGETAL CON ALOE VERA BANDEJA x 400gr, DERMOGREEN CERA DEPILATORIA VEGETAL CON ALOE VERA BANDEJA x 800gr ,$643,1388.04,98
LLAVE 3 VIAS EUROMIX, LLAVE 3 VIAS EUROMIX ,$71,68.0,100
CATETER TEFLON DEXAL N.22 (TIPO ABOCAT), CATETER TEFLON DEXAL N.14 (TIPO ABOCAT) ,$40,49.0,96
DERMOGREEN CREMA DEPILATORIA CORPORAL PIEL NORMAL x120gr, DERMOGREEN CREMA DEPILATORIA CORPORAL PIEL NORMAL x120gr ,$443,506.14,100
DERMOGREEN QUITAESMALTE REPARADOR CON ACEITE ALMENDRAS x 60 ml, DERMOGREEN QUITAESMALTE REPARADOR CON ACEITE ALMENDRAS x 60 ml ,$111,126.89,100
DERMOGREEN QUITAESMALTE SUAVIZANTE CON ACEITE DE ARGAN x 60 ml, DERMOGREEN QUITAESMALTE SUAVIZANTE CON ACEITE DE ARGAN x 120 ml ,$111,194.07,98
DERMOGREEN QUITAESMALTE FORTALECEDOR CON VITAMINA E x 60 ml, DERMOGREEN QUITAESMALTE FORTALECEDOR CON VITAMINA E x 60 ml ,$111,126.89,100
DERMOGREEN QUITAESMALTE HUMECTANTE CON ALOE VERA x 60 ml, DERMOGREEN QUITAESMALTE HUMECTANTE CON ALOE VERA x 120 ml ,$111,194.07,97
DERMOGREEN QUITAESMALTE FORTALECEDOR CON VITAMINA E x 120 ml, DERMOGREEN QUITAESMALTE FORTALECEDOR CON VITAMINA E x 60 ml ,$177,126.89,97
DERMOGREEN QUITAESMALTE REPARADOR CON KERATINA x 120 ml, DERMOGREEN QUITAESMALTE REPARADOR CON KERATINA x 120 ml ,$177,194.07,100
DERMOGREEN QUITAESMALTE HUMECTANTE CON ALOE VERA x 120 ml, DERMOGREEN QUITAESMALTE HUMECTANTE CON ALOE VERA x 120 ml ,$177,194.07,100
DERMOGREEN QUITAESMALTE SUAVIZANTE CON ACEITE DE ARGAN x 120 ml, DERMOGREEN QUITAESMALTE SUAVIZANTE CON ACEITE DE ARGAN x 120 ml ,$177,194.07,100
DERMOGREEN CERA DEPILATORIA NATURAL C/.MIEL Y CAMOMILLA LATA x 200gr, DERMOGREEN CERA DEPILATORIA NATURAL C/.MIEL Y CAMOMILLA LATA x 200gr ,$579,661.83,100
DERMOGREEN CERA DEPILATORIA VEGETAL CON ALOE VERA LATA x 200gr, DERMOGREEN CERA DEPILATORIA VEGETAL CON ALOE VERA BANDEJA x 800gr ,$579,1388.04,93
DERMOGREEN CREMA DEPILATORIA FACIAL TODO TIPO DE PIEL x 65gr, DERMOGREEN CREMA DEPILATORIA FACIAL TODO TIPO DE PIEL x 65gr ,$373,425.74,100
DERMOGREEN CREMA DEPILATORIA CORPORAL PIEL SENSIBLE x120gr, DERMOGREEN CREMA DEPILATORIA CORPORAL PIEL NORMAL x120gr ,$443,506.14,93
DERMOGREEN BANDA DEPILATORIA DE TELA NO TEJIDA x 8 u., DERMOGREEN BANDA DEPILATORIA DE TELA NO TEJIDA x 8 u. ,$84,96.46,100
TERMOMETRO DIGITAL CLINICO HANGZHOU DT11A, TERMOMETRO DIGITAL CLINICO ETEMP ,$593,596.0,90
PINCEL PARA TINTURA GRANDE x 6 unid., PINCEL PARA TINTURA GRANDE x 6 unid. ,$544,415.8,100
TERMOMETRO DIGITAL EXATHERM DTK11B, TERMOMETRO DIGITAL EXATHERM DTK11B ,$611,582.0,100
TENSIOMETRO DIGITAL AUT.BRAZO CORONET LD572, TENSIOMETRO DIGITAL AUT.BRAZO CORONET LD572 ,$7.753,8536.0,100
TENSIOMETRO DIGITAL AUT.MUÑECA CORONET LD752, TENSIOMETRO DIGITAL AUT.MUÑECA CORONET LD752 ,$5.877,6550.0,100
CEPILLO DENTAL IBC3022 INFANTIL ANATOMICO x 12 u. (0290), CEPILLO DENTAL IBC3022 INFANTIL ANATOMICO x 12 u. (0290) ,$1.158,1102.54,100
CEPILLO DENTAL IBC3021 INFANTIL ECO x 12 u.(0306), CEPILLO DENTAL IBC3021 INFANTIL ECO x 12 u.(0306) ,$883,840.91,100
CEPILLO DENTAL IBC3023 ADULTO ANATOMICO x 12 u.(0283), CEPILLO DENTAL IBC3023 ADULTO ANATOMICO x 12 u.(0283) ,$1.276,1214.78,100
JESSAMY LIMA SAPHIRO DIAMANTADA MANGO CAREY 6 (L6), JESSAMY LIMA SAPHIRO DIAMANTADA MANGO CAREY 7 (L7) ,$119,188.4,96
O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER FUCSIA(4025), O2+ ESPONJA MAQUILLAJE BEAUTY BLENDER VIOLETA ,$472,449.74,90
O2+ BROCHA POLVO RUBOR (3202), O2+ BROCHA POLVO RUBOR (3202) ,$939,894.14,100
O2+ BROCHA POLVO RUBOR CONTORNO (3301), O2+ BROCHA POLVO RUBOR CONTORNO (3301) ,$826,786.84,100
O2+ BROCHA PARA BASE LIQUIDA (3400), O2+ BROCHA PARA BASE LIQUIDA (3400) ,$826,786.84,100
O2+ BROCHA SOMBRA OJOS (3608), O2+ BROCHA SOMBRA OJOS (3608) ,$563,536.48,100
O2+ BROCHA RETRACTIL CARTERA (3707), O2+ BROCHA RETRACTIL CARTERA (3707) ,$723,688.66,100
O2+ COLITAS TUBO CON BRILLO x 32 u. (4001), O2+ COLITAS TUBO CON BRILLO x 32 u. (4001) ,$869,828.08,100
O2+ ESPONJA EXFOLIANTE KONJAC VERDE (4230), O2+ ESPONJA EXFOLIANTE KONJAC VERDE (4230) ,$1.061,1010.22,100
O2+ UÑAS POSTIZAS CON PEGAMENTO (4445), O2+ UÑAS POSTIZAS CON PEGAMENTO (4469) ,$806,767.16,94
O2+ UÑAS POSTIZAS CON PEGAMENTO (4414), O2+ UÑAS POSTIZAS CON PEGAMENTO (4469) ,$806,767.16,94
O2+ UÑAS POSTIZAS CON PEGAMENTO (4407), O2+ UÑAS POSTIZAS CON PEGAMENTO (4469) ,$806,767.16,94
O2+ UÑAS POSTIZAS CON PEGAMENTO (4421), O2+ UÑAS POSTIZAS CON PEGAMENTO (4469) ,$806,767.16,94
O2+ UÑAS POSTIZAS CON PEGAMENTO (4391), O2+ UÑAS POSTIZAS CON PEGAMENTO (4469) ,$806,767.16,94
O2+ UÑAS POSTIZAS CON PEGAMENTO (4469), O2+ UÑAS POSTIZAS CON PEGAMENTO (4469) ,$806,767.16,100
O2+ PORTA COSMETICOS TOUJOURS (4278), O2+ PORTA COSMETICOS TOUJOURS (4278) ,$1.855,1766.81,100
O2+ PORTA COSMETICOS MAKE UP (4261), O2+ PORTA COSMETICOS MAKE UP (4261) ,$1.855,1766.81,100
CATETER TEFLON DEXAL N.14 (TIPO ABOCAT), CATETER TEFLON DEXAL N.14 (TIPO ABOCAT) ,$49,49.0,100
CATETER TEFLON DEXAL N.24 (TIPO ABOCAT), CATETER TEFLON DEXAL N.14 (TIPO ABOCAT) ,$44,49.0,97
JERINGA NEOJET INSULINA CON AGUJA 12 x 4 x 100 u, JERINGA NEOJET INSULINA CON AGUJA 12 x 4    x 100 u ,$901,898.0,100
JERINGA NEOJET 5 cc CON AGUJA 40/8 x 100 u, JERINGA FUREY  5 cc CON AGUJA 40/8 x 100 u ,$1.150,1095.0,92
MARY BOSQUES RUBIOS TOTALES x 20 gr., MARY BOSQUES RUBIOS TOTALES DOYPACK x 250 gr. ,$116,784.02,96
NONISEC PAÑAL ADULTO EXTRA GRANDE x 10u, NONISEC PAÑAL ADULTO EXTRA GRANDE x 10u ,$886,892.66,100
REPUESTO NEBULIZADOR PISTON MANGUERA NEBULIZAR SILFAB, REPUESTO NEBULIZADOR PISTON AMPOLLA NEBULIZAR SILFAB (P71) ,$477,516.4,91
JERINGA BREMEN 5 cc 40/8 x 100 u, JERINGA BREMEN 10 cc S/A x 100 u ,$1.150,1345.0,91
REPUESTO NEBULIZADOR PISTON EXATHERM KIT (AMPOLLA NEBULIZAR+ TUBO DE AIRE+5 FILTROS DE AIRE+MASCARA, REPUESTO NEBULIZADOR PISTON EXATHERM KIT (AMPOLLA NEBULIZAR+ TUBO DE AIRE+5 FILTROS DE AIRE+MASCARA ,$1.411,1383.96,100
JESSAMY GORRA PARA DUCHA LISA G00185, JESSAMY GORRA PARA DUCHA LISA G00185 ,$270,257.48,100
JESSAMY GORRA PARA DUCHA CRISTAL G24, JESSAMY GORRA PARA DUCHA CRISTAL  G24 ,$257,244.92,100
AEROCAMARA PEDIATRICA AERO100 CON MASCARA AB00102, AEROCAMARA PEDIATRICA AERO100 CON MASCARA AB00102 ,$731,696.0,100
MARY BOSQUES CREMA DE COCO CON ACEITE DE COCO Y ALMENDRAS SOBRE x 250 gr., MARY BOSQUES CREMA DE COCO POTE x 200 gr.CON ACEITE DE COCO Y ALMENDRAS ,$685,1088.11,94
MARY BOSQUES PALTA EN CREMA CAPILAR x 250 gr., MARY BOSQUES PALTA EN CREMA CAPILAR x 250 gr. ,$638,793.09,100
MARY BOSQUES SHOCK ACIDO SOBRE x 250 grs., MARY BOSQUES SHOCK ACIDO POTE x 200 grs. ,$677,1058.39,91
